Price,Bedroom,Space,Room,Lot,Tax,Bathroom,Garage,Condition
53.0,2.0,967.0,5.0,39.0,652.0,1.5,0.0,0.0
55.0,2.0,0.0,5.0,33.0,1000.0,1.0,2.0,1.0
56.0,3.0,900.0,5.0,35.0,897.0,1.5,1.0,0.0
58.0,3.0,1007.0,6.0,24.0,964.0,1.5,2.0,0.0
64.0,3.0,1100.0,7.0,50.0,1099.0,1.5,1.5,0.0
44.0,4.0,897.0,7.0,25.0,960.0,2.0,1.0,0.0
49.0,5.0,1400.0,8.0,0.0,678.0,1.0,1.0,1.0
70.0,3.0,2261.0,6.0,29.0,2700.0,1.0,2.0,0.0
72.0,4.0,1290.0,8.0,0.0,800.0,1.5,1.5,0.0
82.0,4.0,2104.0,9.0,40.0,1038.0,2.5,1.0,1.0
85.0,8.0,2240.0,12.0,50.0,1200.0,3.0,2.0,0.0
45.0,2.0,641.0,5.0,25.0,860.0,1.0,0.0,0.0
47.0,3.0,862.0,6.0,25.0,600.0,1.0,0.0,0.0
49.0,4.0,1043.0,7.0,30.0,676.0,1.5,0.0,0.0
56.0,4.0,1325.0,8.0,50.0,1287.0,1.5,0.0,0.0
60.0,2.0,782.0,5.0,25.0,834.0,1.0,0.0,0.0
62.0,3.0,1126.0,7.0,30.0,734.0,2.0,0.0,1.0
64.0,4.0,1226.0,8.0,37.0,0.0,2.0,2.0,0.0
66.0,2.0,929.0,5.0,30.0,1355.0,1.0,1.0,0.0
35.0,4.0,1137.0,7.0,25.0,561.0,1.5,0.0,0.0
38.0,3.0,743.0,6.0,25.0,489.0,1.0,0.0,0.0
43.0,3.0,596.0,5.0,50.0,0.0,1.0,0.0,0.0
46.0,2.0,803.0,5.0,27.0,774.0,1.0,0.0,1.0
46.0,2.0,696.0,4.0,30.0,440.0,2.0,1.0,0.0
50.0,2.0,691.0,6.0,30.0,549.0,1.0,2.0,1.0
65.0,3.0,1023.0,7.0,30.0,900.0,2.0,1.0,0.0
54.0,1.0,964.0,5.0,39.0,621.0,1.5,0.0,0.0
58.0,1.0,799.0,5.0,33.0,1025.0,1.0,2.0,1.0
58.0,2.0,943.0,5.0,35.0,904.0,1.5,1.0,0.0
61.0,3.0,1041.0,6.0,24.0,966.0,1.5,2.0,0.0
62.0,3.0,1124.0,7.0,50.0,1129.0,1.5,1.5,0.0
46.0,3.0,855.0,7.0,25.0,948.0,2.0,1.0,0.0
49.0,4.0,1408.0,8.0,0.0,650.0,1.0,1.0,1.0
70.0,3.0,2230.0,6.0,29.0,2727.0,1.0,2.0,0.0
72.0,5.0,1299.0,8.0,33.0,767.0,1.5,1.5,0.0
81.0,5.0,2173.0,9.0,40.0,1074.0,2.5,1.0,1.0
88.0,8.0,2278.0,12.0,50.0,1183.0,3.0,2.0,0.0
45.0,3.0,583.0,5.0,25.0,888.0,1.0,0.0,0.0
47.0,3.0,874.0,6.0,25.0,565.0,1.0,0.0,0.0
47.0,3.0,1053.0,7.0,30.0,700.0,1.5,0.0,0.0
55.0,5.0,1255.0,8.0,50.0,1278.0,1.5,0.0,0.0
61.0,1.0,785.0,5.0,25.0,817.0,1.0,0.0,0.0
64.0,2.0,1104.0,7.0,30.0,722.0,2.0,0.0,1.0
65.0,4.0,1250.0,8.0,37.0,554.0,2.0,2.0,0.0
64.0,2.0,898.0,5.0,30.0,1394.0,1.0,1.0,0.0
35.0,5.0,1142.0,7.0,25.0,543.0,1.5,0.0,0.0
36.0,4.0,812.0,6.0,25.0,508.0,1.0,0.0,0.0
42.0,2.0,539.0,5.0,50.0,721.0,1.0,0.0,0.0
48.0,3.0,758.0,5.0,27.0,743.0,1.0,0.0,1.0
45.0,2.0,0.0,4.0,30.0,470.0,2.0,1.0,0.0
53.0,2.0,636.0,6.0,30.0,553.0,1.0,2.0,1.0
66.0,3.0,1053.0,7.0,30.0,867.0,2.0,1.0,0.0
50.0,2.0,0.0,5.0,39.0,687.0,1.5,0.0,0.0
57.0,3.0,828.0,5.0,33.0,970.0,1.0,2.0,1.0
59.0,2.0,839.0,5.0,35.0,926.0,1.5,1.0,0.0
56.0,3.0,1049.0,6.0,24.0,982.0,1.5,2.0,0.0
65.0,2.0,1145.0,7.0,50.0,0.0,1.5,1.5,0.0
44.0,4.0,880.0,7.0,25.0,965.0,2.0,1.0,0.0
51.0,4.0,1458.0,8.0,30.0,646.0,1.0,1.0,1.0
70.0,2.0,2191.0,6.0,29.0,2688.0,1.0,2.0,0.0
70.0,3.0,1233.0,8.0,33.0,827.0,1.5,1.5,0.0
84.0,3.0,2171.0,9.0,40.0,1075.0,2.5,1.0,1.0
85.0,7.0,2295.0,12.0,50.0,1233.0,3.0,2.0,0.0
45.0,3.0,581.0,5.0,25.0,821.0,1.0,0.0,0.0
47.0,4.0,924.0,6.0,25.0,633.0,1.0,0.0,0.0
52.0,5.0,1021.0,7.0,30.0,669.0,1.5,0.0,0.0
55.0,3.0,1379.0,8.0,50.0,1309.0,1.5,0.0,0.0
61.0,3.0,715.0,5.0,25.0,815.0,1.0,0.0,0.0
65.0,2.0,0.0,7.0,30.0,719.0,2.0,0.0,1.0
66.0,4.0,1243.0,8.0,37.0,591.0,2.0,2.0,0.0
69.0,1.0,907.0,5.0,30.0,1320.0,1.0,1.0,0.0
34.0,4.0,1095.0,7.0,25.0,530.0,1.5,0.0,0.0
39.0,2.0,701.0,6.0,25.0,500.0,1.0,0.0,0.0
44.0,3.0,579.0,5.0,0.0,753.0,1.0,0.0,0.0
43.0,3.0,843.0,5.0,27.0,777.0,1.0,0.0,1.0
43.0,2.0,0.0,4.0,30.0,425.0,2.0,1.0,0.0
53.0,3.0,673.0,6.0,30.0,589.0,1.0,2.0,1.0
63.0,4.0,963.0,7.0,30.0,885.0,2.0,1.0,0.0
54.0,2.0,944.0,5.0,39.0,684.0,1.5,0.0,0.0
52.0,2.0,855.0,5.0,33.0,0.0,1.0,2.0,1.0
56.0,3.0,939.0,5.0,35.0,867.0,1.5,1.0,0.0
55.0,3.0,1035.0,6.0,24.0,938.0,1.5,2.0,0.0
66.0,3.0,1080.0,7.0,50.0,1127.0,1.5,1.5,0.0
41.0,4.0,927.0,7.0,25.0,975.0,2.0,1.0,0.0
51.0,5.0,1370.0,8.0,30.0,696.0,1.0,1.0,1.0
71.0,3.0,0.0,6.0,29.0,2687.0,1.0,2.0,0.0
73.0,4.0,1278.0,8.0,33.0,810.0,1.5,1.5,0.0
80.0,4.0,2045.0,9.0,40.0,1045.0,2.5,1.0,1.0
88.0,8.0,2228.0,12.0,50.0,1208.0,3.0,2.0,0.0
47.0,2.0,676.0,5.0,25.0,880.0,1.0,0.0,0.0
50.0,3.0,861.0,6.0,25.0,567.0,1.0,0.0,0.0
52.0,4.0,1040.0,7.0,30.0,694.0,1.5,0.0,0.0
58.0,4.0,1382.0,8.0,50.0,1267.0,1.5,0.0,0.0
59.0,2.0,848.0,5.0,25.0,814.0,1.0,0.0,0.0
62.0,3.0,1133.0,7.0,30.0,725.0,2.0,0.0,1.0
61.0,4.0,0.0,8.0,37.0,581.0,2.0,2.0,0.0
67.0,2.0,901.0,5.0,30.0,1373.0,1.0,1.0,0.0
34.0,4.0,1087.0,7.0,25.0,584.0,1.5,0.0,0.0
36.0,3.0,777.0,6.0,25.0,449.0,1.0,0.0,0.0
46.0,3.0,643.0,5.0,50.0,756.0,1.0,0.0,0.0
46.0,2.0,856.0,5.0,27.0,745.0,1.0,0.0,1.0
47.0,2.0,766.0,4.0,30.0,418.0,2.0,1.0,0.0
51.0,2.0,714.0,6.0,30.0,536.0,1.0,2.0,1.0
65.0,3.0,991.0,7.0,30.0,902.0,2.0,1.0,0.0
55.0,1.0,978.0,5.0,39.0,653.0,1.5,0.0,0.0
61.0,1.0,729.0,5.0,33.0,1054.0,1.0,2.0,1.0
58.0,2.0,942.0,5.0,35.0,880.0,1.5,1.0,0.0
64.0,3.0,1022.0,6.0,24.0,980.0,1.5,2.0,0.0
63.0,3.0,1178.0,7.0,50.0,1124.0,1.5,1.5,0.0
45.0,3.0,860.0,7.0,25.0,970.0,2.0,1.0,0.0
49.0,4.0,1429.0,8.0,30.0,681.0,1.0,1.0,1.0
73.0,3.0,2287.0,6.0,29.0,2752.0,1.0,2.0,0.0
70.0,5.0,0.0,8.0,33.0,768.0,1.5,1.5,0.0
81.0,5.0,2170.0,9.0,40.0,1065.0,2.5,1.0,1.0
90.0,8.0,2293.0,12.0,50.0,1181.0,3.0,2.0,0.0
44.0,3.0,590.0,5.0,25.0,874.0,1.0,0.0,0.0
44.0,3.0,914.0,6.0,25.0,544.0,1.0,0.0,0.0
44.0,3.0,1053.0,7.0,30.0,717.0,1.5,0.0,0.0
57.0,5.0,1198.0,8.0,50.0,1244.0,1.5,0.0,0.0
63.0,1.0,722.0,5.0,25.0,836.0,1.0,0.0,0.0
65.0,2.0,1107.0,7.0,30.0,722.0,2.0,0.0,1.0
68.0,4.0,1274.0,8.0,37.0,0.0,2.0,2.0,0.0
63.0,2.0,933.0,5.0,30.0,1431.0,1.0,1.0,0.0
37.0,5.0,1204.0,7.0,25.0,531.0,1.5,0.0,0.0
39.0,4.0,744.0,6.0,25.0,531.0,1.0,0.0,0.0
39.0,2.0,563.0,5.0,50.0,755.0,1.0,0.0,0.0
49.0,3.0,758.0,5.0,27.0,766.0,1.0,0.0,1.0
44.0,2.0,705.0,4.0,0.0,0.0,2.0,1.0,0.0
50.0,2.0,634.0,6.0,0.0,536.0,1.0,2.0,1.0
63.0,3.0,0.0,7.0,30.0,843.0,2.0,1.0,0.0
49.0,2.0,1049.0,5.0,0.0,710.0,1.5,0.0,0.0
59.0,3.0,859.0,5.0,33.0,994.0,1.0,2.0,1.0
60.0,2.0,828.0,5.0,35.0,913.0,1.5,1.0,0.0
55.0,3.0,1012.0,6.0,24.0,984.0,1.5,2.0,0.0
67.0,2.0,1122.0,7.0,0.0,1131.0,1.5,1.5,0.0
41.0,4.0,859.0,7.0,25.0,941.0,2.0,1.0,0.0
48.0,4.0,1424.0,8.0,0.0,621.0,1.0,1.0,1.0
70.0,2.0,2196.0,6.0,29.0,2711.0,1.0,2.0,0.0
70.0,3.0,1250.0,8.0,33.0,851.0,1.5,1.5,0.0
85.0,3.0,2240.0,9.0,40.0,1101.0,2.5,1.0,1.0
88.0,7.0,2277.0,12.0,50.0,1248.0,3.0,2.0,0.0
42.0,3.0,584.0,5.0,25.0,812.0,1.0,0.0,0.0
45.0,4.0,0.0,6.0,25.0,649.0,1.0,0.0,0.0
52.0,5.0,1074.0,7.0,30.0,0.0,1.5,0.0,0.0
55.0,3.0,1438.0,8.0,50.0,1294.0,1.5,0.0,0.0
59.0,3.0,710.0,5.0,25.0,848.0,1.0,0.0,0.0
64.0,2.0,1114.0,7.0,30.0,746.0,2.0,0.0,1.0
66.0,4.0,0.0,8.0,37.0,565.0,2.0,2.0,0.0
69.0,1.0,957.0,5.0,0.0,1287.0,1.0,1.0,0.0
32.0,4.0,1065.0,7.0,25.0,492.0,1.5,0.0,0.0
42.0,2.0,639.0,6.0,25.0,0.0,1.0,0.0,0.0
42.0,3.0,585.0,5.0,50.0,713.0,1.0,0.0,0.0
44.0,3.0,820.0,5.0,27.0,0.0,1.0,0.0,1.0
43.0,2.0,593.0,4.0,30.0,465.0,2.0,1.0,0.0
53.0,3.0,716.0,6.0,30.0,585.0,1.0,2.0,1.0
62.0,4.0,951.0,7.0,30.0,895.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
